frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming
0,0,948.813089,500.476561,806.6427,646.888428,1095.685669,642.298523,1090.873535,354.177917,802.444824,359.141571,33.3045,0
1,0,948.834438,500.54491,806.635559,646.996277,1095.633667,642.322266,1090.849609,354.282745,802.447815,359.166046,34.0913,0
2,0,948.818187,500.640621,806.622925,647.097168,1095.60437,642.443176,1090.865234,354.336731,802.472473,359.26358,33.8866,0
3,0,948.860788,500.729663,806.645142,647.190308,1095.576904,642.487305,1090.9198,354.430328,802.471191,359.287506,33.823,0
4,0,948.832624,500.775772,806.560059,647.310791,1095.546875,642.5354,1090.864624,354.488525,802.480835,359.366364,33.6039,0
5,0,948.755056,500.825425,806.585144,647.245239,1095.596558,642.684326,1090.791626,354.542938,802.4151,359.45105,34.4642,0
6,0,948.846217,500.903274,806.587708,647.376343,1095.662598,642.75769,1090.866455,354.675537,802.464417,359.46875,34.2518,0
7,0,948.840857,501.08356,806.610474,647.592285,1095.665771,642.91687,1090.878052,354.773834,802.469971,359.688843,33.5336,0
8,0,948.793426,501.308116,806.597595,647.865051,1095.623779,643.11969,1090.870483,354.873596,802.448547,359.965424,34.0783,0
9,0,948.819581,501.518403,806.663513,647.983765,1095.602661,643.343506,1090.905273,355.125549,802.476501,360.118439,34.3954,0
10,0,948.845055,501.605248,806.721863,648.066223,1095.629761,643.38269,1090.930298,355.18338,802.462952,360.216675,34.1605,0
11,0,948.823706,501.621543,806.656067,648.134644,1095.643799,643.460938,1090.873413,355.22998,802.493042,360.254974,33.597,0
12,0,948.830737,501.759501,806.685608,648.258667,1095.590088,643.595337,1090.901978,355.336487,802.482971,360.321442,33.4739,0
13,0,948.840777,501.871383,806.618164,648.433899,1095.653442,643.762451,1090.890503,355.48703,802.574158,360.508057,33.9973,0
14,0,948.859387,502.003205,806.643616,648.567322,1095.636475,643.826721,1090.891357,355.62851,802.536438,360.6185,33.6858,0
15,0,948.866566,502.089137,806.718811,648.677917,1095.677734,643.839661,1090.884399,355.634338,802.507263,360.774902,33.4666,0
16,0,948.856826,502.139516,806.652527,648.648499,1095.625244,643.870239,1090.975708,355.718536,802.526123,360.831482,34.3995,0
17,0,948.835291,502.145401,806.621765,648.705078,1095.677246,643.905884,1090.935547,355.702454,802.521912,360.895203,33.6065,0
18,0,948.784507,502.130118,806.635742,648.604187,1095.56604,643.86145,1090.931152,355.658234,802.463318,360.843292,34.7305,0
19,0,948.758746,502.062333,806.667969,648.519958,1095.651978,643.916016,1090.872559,355.580963,802.461365,360.784058,34.602,0
20,0,948.796452,502.064025,806.682617,648.572693,1095.704102,643.895935,1090.850342,355.617157,802.442322,360.76651,33.8344,0
21,0,948.847487,502.15556,806.705139,648.728882,1095.630371,643.8703,1090.885742,355.689575,802.44635,360.809387,34.0502,0
22,0,948.807762,502.145995,806.676697,648.652466,1095.703735,643.992554,1090.885742,355.694244,802.525635,360.892181,34.3721,0
23,0,948.877255,502.151193,806.703125,648.684082,1095.669678,643.876526,1090.964111,355.708252,802.547913,360.872955,33.606,0
24,0,948.817942,502.057392,806.690125,648.628296,1095.680176,643.811035,1090.853882,355.581238,802.461548,360.791992,34.291,0
25,0,948.83538,501.965305,806.696655,648.492371,1095.631714,643.702332,1090.859131,355.556763,802.495728,360.66922,33.3565,0
26,0,948.77937,501.948997,806.712158,648.404846,1095.591064,643.728577,1090.843872,355.495941,802.449097,360.634338,34.0113,0
27,0,948.850373,501.862036,806.658142,648.402588,1095.626709,643.594177,1090.896362,355.472198,802.482788,360.524597,34.2592,0
28,0,948.777429,501.865963,806.639465,648.349243,1095.574829,643.634277,1090.894775,355.403931,802.485291,360.585602,34.4707,0
29,0,948.867724,501.829533,806.679382,648.358032,1095.670166,643.558472,1090.915527,355.445862,802.520996,360.540558,33.5265,0
30,0,948.808789,501.76582,806.641968,648.284546,1095.691772,643.611511,1090.864502,355.361603,802.517517,360.491547,34.0959,0
31,0,948.823894,501.690109,806.665649,648.139893,1095.639038,643.494263,1090.890869,355.334351,802.527588,360.387085,34.4794,0
32,0,948.829678,501.512376,806.653076,648.008972,1095.643311,643.261597,1090.881592,355.144257,802.498413,360.228882,33.4415,0
33,0,948.817273,501.436491,806.636719,647.923706,1095.62854,643.247925,1090.907837,355.041992,802.517761,360.119385,33.6835,0
34,0,948.780122,501.357325,806.539734,647.820984,1095.537842,643.160339,1090.943115,354.973358,802.49115,360.007233,33.4504,0
35,0,948.785565,501.342522,806.606873,647.796875,1095.578857,643.180603,1090.893555,354.960999,802.428711,359.926147,33.7137,0
36,0,948.822338,501.212615,806.603149,647.671204,1095.53125,642.933716,1090.924438,354.874603,802.469055,359.835052,33.3615,0
37,0,948.812291,501.097249,806.624146,647.512085,1095.57019,642.863892,1090.91687,354.768463,802.467163,359.72934,33.9488,0
38,0,948.789382,500.973769,806.603333,647.366211,1095.59668,642.751953,1090.875244,354.684479,802.438171,359.636047,34.103,0
39,0,948.790343,500.884892,806.627808,647.349792,1095.645996,642.739136,1090.819946,354.556946,802.458313,359.536438,33.5319,0
40,0,948.831417,500.789886,806.610046,647.222534,1095.579102,642.537659,1090.873169,354.542175,802.444885,359.390961,33.6714,0
41,0,948.798331,500.759555,806.599731,647.194397,1095.66748,642.656494,1090.822388,354.504456,802.435547,359.351837,34.7182,0
42,0,948.825532,500.764975,806.573792,647.302063,1095.641479,642.552429,1090.807251,354.506042,802.466064,359.418365,34.2555,0
43,0,948.777788,500.798704,806.610352,647.25116,1095.598267,642.603821,1090.858154,354.435944,802.439514,359.45932,33.718,0
